ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBDJ0813140,0.00,DJ081314,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,31/10/2008,30/04/2014,N/A,N/A
MYBDJ0813157,0.00,DJ081315,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,31/10/2008,31/10/2014,N/A,N/A
MYBDJ0900038,50000000.00,DJ090003,OWC 7.00% 20.02.2015 (Tranche 3),OWC,IBONDS,20/02/2009,20/02/2015,AA-_*I_*S,N/A
MYBDJ0900335,1750000.00,DJ090033,OWC 0% 20.08.2014 SN,OWC,IBONDS,20/02/2009,20/08/2014,AA-_*I_*S,N/A
MYBDJ0900343,1750000.00,DJ090034,OWC 0% 20.02.2015 SN,OWC,IBONDS,20/02/2009,20/02/2015,AA-_*I_*S,N/A
MYBDJ0900459,1800000.00,DJ090045,OWC 0% 20.08.2014 SN,OWC,IBONDS,20/02/2009,20/08/2014,AA-_*I_*S,N/A
MYBDJ0900467,1800000.00,DJ090046,OWC 0% 20.02.2015 SN,OWC,IBONDS,20/02/2009,20/02/2015,AA-_*I_*S,N/A
MYBDJ0900699,0.00,DJ090069,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,30/04/2009,31/10/2014,N/A,N/A
MYBDJ0900707,0.00,DJ090070,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,30/04/2009,30/04/2015,N/A,N/A
MYBDJ0900996,0.00,DJ090099,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,30/04/2009,31/10/2014,N/A,N/A
MYBDJ0901002,0.00,DJ090100,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,30/04/2009,30/04/2015,N/A,N/A
MYBDJ0901283,0.00,DJ090128,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,30/04/2009,31/10/2014,N/A,N/A
MYBDJ0901291,0.00,DJ090129,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,30/04/2009,30/04/2015,N/A,N/A
MYBDJ0901523,0.00,DJ090152,TALAM CORP 6% 29.12.2014 SN,TALAM CORP,IBONDS,29/06/2009,29/12/2014,N/A,N/A
MYBDJ0901531,0.00,DJ090153,TALAM CORP 6% 29.06.2015 SN,TALAM CORP,IBONDS,29/06/2009,29/06/2015,N/A,N/A
MYBDJ0902133,0.00,DJ090213,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,30/10/2009,30/04/2015,N/A,N/A
MYBDJ0902141,0.00,DJ090214,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,30/10/2009,30/10/2015,N/A,N/A
MYBDJ0902398,0.00,DJ090239,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,30/10/2009,30/04/2015,N/A,N/A
MYBDJ0902406,0.00,DJ090240,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,30/10/2009,30/10/2015,N/A,N/A
MYBDJ1400038,10000000.00,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,UNITAPAH,IBONDS,12/12/2014,11/12/2020,N/A,AA2
MYBDJ1500134,0.00,DJ150013,ISLAM 0% 22.10.2020 SN,ISLAM,IBONDS,22/04/2015,22/10/2020,N/A,N/A
MYBDJ1500142,0.00,DJ150014,ISLAM 0% 22.04.2021 SN,ISLAM,IBONDS,22/04/2015,22/04/2021,N/A,N/A
MYBDK0213612,0.00,DK021361,GDC PUTRA 0.00000% 04.06.2009 SN,GDC PUTRA,IBONDS,04/12/2002,04/06/2009,N/A,N/A
MYBDK0213620,0.00,DK021362,GDC PUTRA 0.00000% 04.12.2009 SN,GDC PUTRA,IBONDS,04/12/2002,04/12/2009,N/A,N/A
MYBDK03222E0,404364527.00,DK03222E,LION CORP RM717.37M 'B' BONDS 31.12.2009,LION CORP,BONDS,14/03/2003,31/12/2031,N/A,N/A
MYBDK04721E0,10000000.00,DK04721E,PSSB SHIP 0.00000% 15.12.2011,PSSB SHIP,IBONDS,15/12/2004,15/12/2011,AA-_*I_*D,N/A
MYBDK04738E4,357500.00,DK04738E,PSSB SHIP 0.00000% 15.06.2011 SN,PSSB SHIP,IBONDS,15/12/2004,15/06/2011,AA-_*I_*D,N/A
MYBDK04739F9,357500.00,DK04739F,PSSB SHIP 0.00000% 15.12.2011 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2011,AA-_*I_*D,N/A
MYBDK0516477,56156773.89,DK051647,MTSB 0% 26.10.2012,MTSB,IBONDS,28/10/2005,26/10/2012,N/A,A2
MYBDK0516485,56156773.88,DK051648,MTSB 0% 28.10.2011,MTSB,IBONDS,28/10/2005,28/10/2011,N/A,A2
MYBDK0516659,3697810.20,DK051665,MTSB 0% 28.10.2011 SN,MTSB,IBONDS,28/10/2005,28/10/2011,N/A,A2
MYBDK0516667,3725962.63,DK051666,MTSB 0% 27.04.2012 SN,MTSB,IBONDS,28/10/2005,27/04/2012,N/A,A2
MYBDK0516675,3725962.63,DK051667,MTSB 0% 26.10.2012 SN,MTSB,IBONDS,28/10/2005,26/10/2012,N/A,A2
MYBDK0516790,3468709.32,DK051679,MTSB 0% 28.10.2011 SN,MTSB,IBONDS,28/10/2005,28/10/2011,N/A,A2
MYBDK0519497,0.00,DK051949,SDEB 0% 11.06.2012 SN,SDEB,IBONDS,09/12/2005,11/06/2012,N/A,N/A
MYBDK0522228,0.00,DK052222,SDEB 0% 11.06.2012 SN,SDEB,IBONDS,09/12/2005,11/06/2012,N/A,N/A
MYBDK0522574,0.00,DK052257,SDEB 0% 11.06.2012 SN,SDEB,IBONDS,09/12/2005,11/06/2012,N/A,N/A
MYBDK0522913,0.00,DK052291,SDEB 0% 11.06.2012 SN,SDEB,IBONDS,09/12/2005,11/06/2012,N/A,N/A
MYBDK0523242,0.00,DK052324,SDEB 0% 11.06.2012 SN,SDEB,IBONDS,09/12/2005,11/06/2012,N/A,N/A
MYBDK0523564,0.00,DK052356,SDEB 0% 11.06.2012 SN,SDEB,IBONDS,09/12/2005,11/06/2012,N/A,N/A
MYBDK0523879,0.00,DK052387,SDEB 0% 11.06.2012 SN,SDEB,IBONDS,09/12/2005,11/06/2012,N/A,N/A
MYBDK0524240,0.00,DK052424,SDEB 0% 11.06.2012 SN,SDEB,IBONDS,09/12/2005,11/06/2012,N/A,N/A
MYBDK0528803,0.00,DK052880,SPRINT 0% 29.06.2012 SN,SPRINT,IBONDS,29/12/2005,29/06/2012,N/A,N/A
MYBDK0528811,0.00,DK052881,SPRINT 0% 28.12.2012 SN,SPRINT,IBONDS,29/12/2005,28/12/2012,N/A,N/A
MYBDK0605882,0.00,DK060588,ZECON TOLL 0% 14.01.2013 SN,ZECON TOLL,IBONDS,14/07/2006,14/01/2013,N/A,N/A
MYBDK0605890,0.00,DK060589,ZECON TOLL 0% 15.07.2013 SN,ZECON TOLL,IBONDS,14/07/2006,15/07/2013,N/A,N/A
MYBDK0800137,0.00,DK080013,MANFAAT 0% 25.07.2014 SN,MANFAAT,IBONDS,25/01/2008,25/07/2014,N/A,N/A
MYBDK0800145,0.00,DK080014,MANFAAT 0% 26.01.2015 SN,MANFAAT,IBONDS,25/01/2008,26/01/2015,N/A,N/A
MYBDK0800665,0.00,DK080066,PIYS 0% 31.07.2014 SN,PIYS,IBONDS,31/01/2008,31/07/2014,N/A,N/A
MYBDK0800673,0.00,DK080067,PIYS 0% 30.01.2015 SN,PIYS,IBONDS,31/01/2008,30/01/2015,N/A,N/A
MYBDK0800947,0.00,DK080094,PIYS 0% 31.07.2014 SN,PIYS,IBONDS,31/01/2008,31/07/2014,N/A,N/A
MYBDK0800954,0.00,DK080095,PIYS 0% 30.01.2015 SN,PIYS,IBONDS,31/01/2008,30/01/2015,N/A,N/A
MYBDK0804519,0.00,DK080451,PRASARANA 0% 28.11.2014 SN,PRASARANA,IBONDS,30/05/2008,28/11/2014,N/A,N/A
MYBDK0804527,0.00,DK080452,PRASARANA 0% 29.05.2015 SN,PRASARANA,IBONDS,30/05/2008,29/05/2015,N/A,N/A
MYBDK0811035,0.00,DK081103,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,31/10/2008,30/04/2015,N/A,N/A
MYBDK0811043,0.00,DK081104,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,31/10/2008,30/10/2015,N/A,N/A
MYBDK0811415,0.00,DK081141,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,31/10/2008,30/04/2015,N/A,N/A
MYBDK0811423,0.00,DK081142,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,31/10/2008,30/10/2015,N/A,N/A
MYBDK0811787,0.00,DK081178,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,31/10/2008,30/04/2015,N/A,N/A
MYBDK0811795,0.00,DK081179,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,31/10/2008,30/10/2015,N/A,N/A
MYBDK0812140,0.00,DK081214,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,31/10/2008,30/04/2015,N/A,N/A
MYBDK0812157,0.00,DK081215,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,31/10/2008,30/10/2015,N/A,N/A
MYBDK0812496,0.00,DK081249,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,31/10/2008,30/04/2015,N/A,N/A
MYBDK0812504,0.00,DK081250,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,31/10/2008,30/10/2015,N/A,N/A
MYBDK0812835,0.00,DK081283,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,31/10/2008,30/04/2015,N/A,N/A
MYBDK0812843,0.00,DK081284,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,31/10/2008,30/10/2015,N/A,N/A
MYBDK0813163,0.00,DK081316,PLSA 0% 30.04.2015 SN,PLSA,IBONDS,31/10/2008,30/04/2015,N/A,N/A
MYBDK0813171,0.00,DK081317,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,31/10/2008,30/10/2015,N/A,N/A
MYBDK0900044,50000000.00,DK090004,OWC 7.20% 19.02.2016 (Tranche 4),OWC,IBONDS,20/02/2009,19/02/2016,AA-_*I_*S,N/A
MYBDK0900473,1800000.00,DK090047,OWC 0% 20.08.2015 SN,OWC,IBONDS,20/02/2009,20/08/2015,AA-_*I_*S,N/A
MYBDK0900481,1800000.00,DK090048,OWC 0% 19.02.2016 SN,OWC,IBONDS,20/02/2009,19/02/2016,AA-_*I_*S,N/A
MYBDK0900713,0.00,DK090071,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,30/04/2009,30/10/2015,N/A,N/A
MYBDK0900721,0.00,DK090072,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,30/04/2009,29/04/2016,N/A,N/A
MYBDK0901018,0.00,DK090101,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,30/04/2009,30/10/2015,N/A,N/A
MYBDK0901026,0.00,DK090102,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,30/04/2009,29/04/2016,N/A,N/A
MYBDK0901307,0.00,DK090130,PLSA 0% 30.10.2015 SN,PLSA,IBONDS,30/04/2009,30/10/2015,N/A,N/A
MYBDK0901315,0.00,DK090131,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,30/04/2009,29/04/2016,N/A,N/A
MYBDK0901547,0.00,DK090154,TALAM CORP 6% 29.12.2015 SN,TALAM CORP,IBONDS,29/06/2009,29/12/2015,N/A,N/A
MYBDK0901554,0.00,DK090155,TALAM CORP 6% 29.06.2016 SN,TALAM CORP,IBONDS,29/06/2009,29/06/2016,N/A,N/A
MYBDK0902156,0.00,DK090215,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,30/10/2009,29/04/2016,N/A,N/A
MYBDK0902164,0.00,DK090216,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,30/10/2009,31/10/2016,N/A,N/A
MYBDK0902412,0.00,DK090241,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,30/10/2009,29/04/2016,N/A,N/A
MYBDK0902420,0.00,DK090242,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,30/10/2009,31/10/2016,N/A,N/A
MYBDK1400010,1300000000.00,DK140001,KHAZANAH 0% 24.02.2021,KHAZANAH,IBONDS,24/02/2014,24/02/2021,N/A,N/A
MYBDK1400374,10000000.00,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,UNITAPAH,IBONDS,12/12/2014,10/12/2021,N/A,AA2
MYBDK1400382,15000000.00,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,UNITAPAH,IBONDS,12/12/2014,11/06/2021,N/A,AA2
MYBDK1500157,0.00,DK150015,ISLAM 0% 22.10.2021 SN,ISLAM,IBONDS,22/04/2015,22/10/2021,N/A,N/A
MYBDK1500165,0.00,DK150016,ISLAM 0% 22.04.2022 SN,ISLAM,IBONDS,22/04/2015,22/04/2022,N/A,N/A
MYBDK97083S0,103000000.00,DK97083S,HUALON BHD 0.000% 02.09.2004 PN,HUALON,IBONDS,03/09/1997,02/09/2004,N/A,C3
MYBDK98003S0,4000000.00,DK98003S,HUALON 0.000% 02.01.2005 PN,HUALON,IBONDS,02/01/1998,02/01/2005,N/A,C3
MYBDL0213636,0.00,DL021363,GDC PUTRA 0.00000% 04.06.2010 SN,GDC PUTRA,IBONDS,04/12/2002,04/06/2010,N/A,N/A
MYBDL0213644,0.00,DL021364,GDC PUTRA 0.00000% 03.12.2010 SN,GDC PUTRA,IBONDS,04/12/2002,03/12/2010,N/A,N/A
MYBDL03212H3,65194612.00,DL03212H,ACB RM424.23M "B" BONDS 31.12.2010,ACB,BONDS,14/03/2003,31/12/2010,N/A,N/A
MYBDL03213T6,397044.00,DL03213T,ACB RM53.525M "B" BONDS 31.12.2010,ACB,BONDS,14/03/2003,31/12/2010,N/A,N/A
MYBDL0519503,0.00,DL051950,SDEB 0% 10.12.2012 SN,SDEB,IBONDS,09/12/2005,10/12/2012,N/A,N/A
MYBDL0519511,0.00,DL051951,SDEB 0% 10.06.2013 SN,SDEB,IBONDS,09/12/2005,10/06/2013,N/A,N/A
MYBDL0522234,0.00,DL052223,SDEB 0% 10.12.2012 SN,SDEB,IBONDS,09/12/2005,10/12/2012,N/A,N/A
MYBDL0522242,0.00,DL052224,SDEB 0% 10.06.2013 SN,SDEB,IBONDS,09/12/2005,10/06/2013,N/A,N/A
MYBDL0522580,0.00,DL052258,SDEB 0% 10.12.2012 SN,SDEB,IBONDS,09/12/2005,10/12/2012,N/A,N/A
MYBDL0522598,0.00,DL052259,SDEB 0% 10.06.2013 SN,SDEB,IBONDS,09/12/2005,10/06/2013,N/A,N/A
MYBDL0522929,0.00,DL052292,SDEB 0% 10.12.2012 SN,SDEB,IBONDS,09/12/2005,10/12/2012,N/A,N/A
MYBDL0522937,0.00,DL052293,SDEB 0% 10.06.2013 SN,SDEB,IBONDS,09/12/2005,10/06/2013,N/A,N/A
MYBDL0523257,0.00,DL052325,SDEB 0% 10.12.2012 SN,SDEB,IBONDS,09/12/2005,10/12/2012,N/A,N/A
MYBDL0523265,0.00,DL052326,SDEB 0% 10.06.2013 SN,SDEB,IBONDS,09/12/2005,10/06/2013,N/A,N/A
MYBDL0523570,0.00,DL052357,SDEB 0% 10.12.2012 SN,SDEB,IBONDS,09/12/2005,10/12/2012,N/A,N/A
MYBDL0523588,0.00,DL052358,SDEB 0% 10.06.2013 SN,SDEB,IBONDS,09/12/2005,10/06/2013,N/A,N/A
MYBDL0523885,0.00,DL052388,SDEB 0% 10.12.2012 SN,SDEB,IBONDS,09/12/2005,10/12/2012,N/A,N/A
MYBDL0523893,0.00,DL052389,SDEB 0% 10.06.2013 SN,SDEB,IBONDS,09/12/2005,10/06/2013,N/A,N/A
MYBDL0524255,0.00,DL052425,SDEB 0% 10.12.2012 SN,SDEB,IBONDS,09/12/2005,10/12/2012,N/A,N/A
MYBDL0524263,0.00,DL052426,SDEB 0% 10.06.2013 SN,SDEB,IBONDS,09/12/2005,10/06/2013,N/A,N/A
MYBDL0528827,0.00,DL052882,SPRINT 0% 28.06.2013 SN,SPRINT,IBONDS,29/12/2005,28/06/2013,N/A,N/A
MYBDL0528835,0.00,DL052883,SPRINT 0% 27.12.2013 SN,SPRINT,IBONDS,29/12/2005,27/12/2013,N/A,N/A
MYBDL0605906,0.00,DL060590,ZECON TOLL 0% 14.01.2014 SN,ZECON TOLL,IBONDS,14/07/2006,14/01/2014,N/A,N/A
MYBDL0605914,0.00,DL060591,ZECON TOLL 0% 14.07.2014 SN,ZECON TOLL,IBONDS,14/07/2006,14/07/2014,N/A,N/A
MYBDL0800150,0.00,DL080015,MANFAAT 0% 27.07.2015 SN,MANFAAT,IBONDS,25/01/2008,27/07/2015,N/A,N/A
MYBDL0800168,0.00,DL080016,MANFAAT 0% 25.01.2016 SN,MANFAAT,IBONDS,25/01/2008,25/01/2016,N/A,N/A
MYBDL0800689,0.00,DL080068,PIYS 0% 31.07.2015 SN,PIYS,IBONDS,31/01/2008,31/07/2015,N/A,N/A
MYBDL0800697,0.00,DL080069,PIYS 0% 29.01.2016 SN,PIYS,IBONDS,31/01/2008,29/01/2016,N/A,N/A
MYBDL0800960,0.00,DL080096,PIYS 0% 31.07.2015 SN,PIYS,IBONDS,31/01/2008,31/07/2015,N/A,N/A
MYBDL0800978,0.00,DL080097,PIYS 0% 29.01.2016 SN,PIYS,IBONDS,31/01/2008,29/01/2016,N/A,N/A
MYBDL0804533,0.00,DL080453,PRASARANA 0% 30.11.2015 SN,PRASARANA,IBONDS,30/05/2008,30/11/2015,N/A,N/A
MYBDL0804541,0.00,DL080454,PRASARANA 0% 30.05.2016 SN,PRASARANA,IBONDS,30/05/2008,30/05/2016,N/A,N/A
MYBDL0811058,0.00,DL081105,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,31/10/2008,29/04/2016,N/A,N/A
MYBDL0811066,0.00,DL081106,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,31/10/2008,31/10/2016,N/A,N/A
MYBDL0811439,0.00,DL081143,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,31/10/2008,29/04/2016,N/A,N/A
MYBDL0811447,0.00,DL081144,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,31/10/2008,31/10/2016,N/A,N/A
MYBDL0811801,0.00,DL081180,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,31/10/2008,29/04/2016,N/A,N/A
MYBDL0811819,0.00,DL081181,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,31/10/2008,31/10/2016,N/A,N/A
MYBDL0812163,0.00,DL081216,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,31/10/2008,29/04/2016,N/A,N/A
MYBDL0812171,0.00,DL081217,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,31/10/2008,31/10/2016,N/A,N/A
MYBDL0812510,0.00,DL081251,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,31/10/2008,29/04/2016,N/A,N/A
MYBDL0812528,0.00,DL081252,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,31/10/2008,31/10/2016,N/A,N/A
MYBDL0812858,0.00,DL081285,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,31/10/2008,29/04/2016,N/A,N/A
MYBDL0812866,0.00,DL081286,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,31/10/2008,31/10/2016,N/A,N/A
MYBDL0813187,0.00,DL081318,PLSA 0% 29.04.2016 SN,PLSA,IBONDS,31/10/2008,29/04/2016,N/A,N/A
MYBDL0813195,0.00,DL081319,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,31/10/2008,31/10/2016,N/A,N/A
MYBDL0900737,0.00,DL090073,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,30/04/2009,31/10/2016,N/A,N/A
MYBDL0900745,0.00,DL090074,PLSA 0% 28.04.2017 SN,PLSA,IBONDS,30/04/2009,28/04/2017,N/A,N/A
MYBDL0901032,0.00,DL090103,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,30/04/2009,31/10/2016,N/A,N/A
MYBDL0901040,0.00,DL090104,PLSA 0% 28.04.2017 SN,PLSA,IBONDS,30/04/2009,28/04/2017,N/A,N/A
MYBDL0901321,0.00,DL090132,PLSA 0% 31.10.2016 SN,PLSA,IBONDS,30/04/2009,31/10/2016,N/A,N/A
MYBDL0901339,0.00,DL090133,PLSA 0% 28.04.2017 SN,PLSA,IBONDS,30/04/2009,28/04/2017,N/A,N/A
MYBDL0901560,0.00,DL090156,TALAM CORP 6% 29.12.2016 SN,TALAM CORP,IBONDS,29/06/2009,29/12/2016,N/A,N/A
MYBDL0901578,0.00,DL090157,TALAM CORP 6% 29.06.2017 SN,TALAM CORP,IBONDS,29/06/2009,29/06/2017,N/A,N/A
MYBDL0902170,0.00,DL090217,PLSA 0% 28.04.2017 SN,PLSA,IBONDS,30/10/2009,28/04/2017,N/A,N/A
MYBDL0902188,0.00,DL090218,PLSA 0% 31.10.2017 SN,PLSA,IBONDS,30/10/2009,31/10/2017,N/A,N/A
MYBDL0902436,0.00,DL090243,PLSA 0% 28.04.2017 SN,PLSA,IBONDS,30/10/2009,28/04/2017,N/A,N/A
MYBDL0902444,0.00,DL090244,PLSA 0% 31.10.2017 SN,PLSA,IBONDS,30/10/2009,31/10/2017,N/A,N/A
MYBDL1300036,1000000000.00,DL130003,KHAZANAH 0% 08.03.2021,KHAZANAH,IBONDS,08/03/2013,08/03/2021,N/A,N/A
MYBDL1400356,15000000.00,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,UNITAPAH,IBONDS,12/12/2014,12/12/2022,N/A,AA2
MYBDL1400364,10000000.00,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,UNITAPAH,IBONDS,12/12/2014,10/06/2022,N/A,AA2
MYBDL1500171,0.00,DL150017,ISLAM 0% 24.10.2022 SN,ISLAM,IBONDS,22/04/2015,24/10/2022,N/A,N/A
MYBDL1500189,0.00,DL150018,ISLAM 0% 24.04.2023 SN,ISLAM,IBONDS,22/04/2015,24/04/2023,N/A,N/A
MYBDM0213659,0.00,DM021365,GDC PUTRA 0.00000% 03.06.2011 SN,GDC PUTRA,IBONDS,04/12/2002,03/06/2011,N/A,N/A
MYBDM0213667,0.00,DM021366,GDC PUTRA 0.00000% 02.12.2011 SN,GDC PUTRA,IBONDS,04/12/2002,02/12/2011,N/A,N/A
MYBDM03214S5,340048996.00,DM03214S,ACB RM340.048M "C" BONDS 30.12.2011,ACB,BONDS,14/03/2003,30/12/2011,N/A,N/A
MYBDM03223X6,1243840319.00,DM03223X,LION CORP RM2.012B 'B' BONDS 30.12.2011,LION CORP,BONDS,14/03/2003,29/12/2034,N/A,N/A
MYBDM03715X1,14865942.90,DM03715X,ALDWICH 0.00000% 15.08.2012 - A007,ALDWICH,BONDS,15/08/2003,13/08/2010,N/A,AAA
MYBDM03728Z9,3000000.00,DM03728Z,ALDWICH 0.00000% 15.08.2012 - B007,ALDWICH,BONDS,15/08/2003,15/08/2012,N/A,AA2
MYBDM0519527,0.00,DM051952,SDEB 0% 09.12.2013 SN,SDEB,IBONDS,09/12/2005,09/12/2013,N/A,N/A
MYBDM0519535,0.00,DM051953,SDEB 0% 09.06.2014 SN,SDEB,IBONDS,09/12/2005,09/06/2014,N/A,N/A
MYBDM0522257,0.00,DM052225,SDEB 0% 09.12.2013 SN,SDEB,IBONDS,09/12/2005,09/12/2013,N/A,N/A
MYBDM0522265,0.00,DM052226,SDEB 0% 09.06.2014 SN,SDEB,IBONDS,09/12/2005,09/06/2014,N/A,N/A
MYBDM0522604,0.00,DM052260,SDEB 0% 09.12.2013 SN,SDEB,IBONDS,09/12/2005,09/12/2013,N/A,N/A
MYBDM0522612,0.00,DM052261,SDEB 0% 09.06.2014 SN,SDEB,IBONDS,09/12/2005,09/06/2014,N/A,N/A
MYBDM0522943,0.00,DM052294,SDEB 0% 09.12.2013 SN,SDEB,IBONDS,09/12/2005,09/12/2013,N/A,N/A
MYBDM0522950,0.00,DM052295,SDEB 0% 09.06.2014 SN,SDEB,IBONDS,09/12/2005,09/06/2014,N/A,N/A
MYBDM0523271,0.00,DM052327,SDEB 0% 09.12.2013 SN,SDEB,IBONDS,09/12/2005,09/12/2013,N/A,N/A
MYBDM0523289,0.00,DM052328,SDEB 0% 09.06.2014 SN,SDEB,IBONDS,09/12/2005,09/06/2014,N/A,N/A
MYBDM0523594,0.00,DM052359,SDEB 0% 09.12.2013 SN,SDEB,IBONDS,09/12/2005,09/12/2013,N/A,N/A
MYBDM0523602,0.00,DM052360,SDEB 0% 09.06.2014 SN,SDEB,IBONDS,09/12/2005,09/06/2014,N/A,N/A
MYBDM0523909,0.00,DM052390,SDEB 0% 09.12.2013 SN,SDEB,IBONDS,09/12/2005,09/12/2013,N/A,N/A
MYBDM0523917,0.00,DM052391,SDEB 0% 09.06.2014 SN,SDEB,IBONDS,09/12/2005,09/06/2014,N/A,N/A
MYBDM0524279,0.00,DM052427,SDEB 0% 09.12.2013 SN,SDEB,IBONDS,09/12/2005,09/12/2013,N/A,N/A
MYBDM0524287,0.00,DM052428,SDEB 0% 09.06.2014 SN,SDEB,IBONDS,09/12/2005,09/06/2014,N/A,N/A
MYBDM0528841,0.00,DM052884,SPRINT 0% 27.06.2014 SN,SPRINT,IBONDS,29/12/2005,27/06/2014,N/A,N/A
MYBDM0528858,0.00,DM052885,SPRINT 0% 29.12.2014 SN,SPRINT,IBONDS,29/12/2005,29/12/2014,N/A,N/A
MYBDM0605920,0.00,DM060592,ZECON TOLL 0% 14.01.2015 SN,ZECON TOLL,IBONDS,14/07/2006,14/01/2015,N/A,N/A
MYBDM0605938,0.00,DM060593,ZECON TOLL 0% 14.07.2015 SN,ZECON TOLL,IBONDS,14/07/2006,14/07/2015,N/A,N/A
MYBDM0800174,0.00,DM080017,MANFAAT 0% 25.07.2016 SN,MANFAAT,IBONDS,25/01/2008,25/07/2016,N/A,N/A
MYBDM0800182,0.00,DM080018,MANFAAT 0% 25.01.2017 SN,MANFAAT,IBONDS,25/01/2008,25/01/2017,N/A,N/A
MYBDM0800703,0.00,DM080070,PIYS 0% 29.07.2016 SN,PIYS,IBONDS,31/01/2008,29/07/2016,N/A,N/A
MYBDM0800711,0.00,DM080071,PIYS 0% 31.01.2017 SN,PIYS,IBONDS,31/01/2008,31/01/2017,N/A,N/A
MYBDM0800984,0.00,DM080098,PIYS 0% 29.07.2016 SN,PIYS,IBONDS,31/01/2008,29/07/2016,N/A,N/A
MYBDM0800992,0.00,DM080099,PIYS 0% 31.01.2017 SN,PIYS,IBONDS,31/01/2008,31/01/2017,N/A,N/A
MYBDM0804556,0.00,DM080455,PRASARANA 0% 30.11.2016 SN,PRASARANA,IBONDS,30/05/2008,30/11/2016,N/A,N/A
MYBDM0804564,0.00,DM080456,PRASARANA 0% 30.05.2017 SN,PRASARANA,IBONDS,30/05/2008,30/05/2017,N/A,N/A
MYBDM0811072,0.00,DM081107,PLSA 0% 28.04.2017 SN,PLSA,IBONDS,31/10/2008,28/04/2017,N/A,N/A
MYBDM0811080,0.00,DM081108,PLSA 0% 31.10.2017 SN,PLSA,IBONDS,31/10/2008,31/10/2017,N/A,N/A
MYBDM0811452,0.00,DM081145,PLSA 0% 28.04.2017 SN,PLSA,IBONDS,31/10/2008,28/04/2017,N/A,N/A
MYBDM0811460,0.00,DM081146,PLSA 0% 31.10.2017 SN,PLSA,IBONDS,31/10/2008,31/10/2017,N/A,N/A
MYBDM0811825,0.00,DM081182,PLSA 0% 28.04.2017 SN,PLSA,IBONDS,31/10/2008,28/04/2017,N/A,N/A
MYBDM0811833,0.00,DM081183,PLSA 0% 31.10.2017 SN,PLSA,IBONDS,31/10/2008,31/10/2017,N/A,N/A
MYBDM0812187,0.00,DM081218,PLSA 0% 28.04.2017 SN,PLSA,IBONDS,31/10/2008,28/04/2017,N/A,N/A
