ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBDG0811348,0.00,DG081134,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,31/10/2008,31/10/2011,N/A,N/A
MYBDG0811702,0.00,DG081170,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,31/10/2008,29/04/2011,N/A,N/A
MYBDG0811710,0.00,DG081171,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,31/10/2008,31/10/2011,N/A,N/A
MYBDG0812064,0.00,DG081206,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,31/10/2008,29/04/2011,N/A,N/A
MYBDG0812072,0.00,DG081207,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,31/10/2008,31/10/2011,N/A,N/A
MYBDG0812411,0.00,DG081241,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,31/10/2008,29/04/2011,N/A,N/A
MYBDG0812429,0.00,DG081242,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,31/10/2008,31/10/2011,N/A,N/A
MYBDG0812759,0.00,DG081275,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,31/10/2008,29/04/2011,N/A,N/A
MYBDG0812767,0.00,DG081276,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,31/10/2008,31/10/2011,N/A,N/A
MYBDG0813088,0.00,DG081308,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,31/10/2008,29/04/2011,N/A,N/A
MYBDG0813096,0.00,DG081309,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,31/10/2008,31/10/2011,N/A,N/A
MYBDG0900091,0.00,DG090009,OWC 0% 22.08.2011 SN,OWC,IBONDS,20/02/2009,22/08/2011,N/A,N/A
MYBDG0900109,0.00,DG090010,OWC 0% 20.02.2012 SN,OWC,IBONDS,20/02/2009,20/02/2012,N/A,N/A
MYBDG0900174,0.00,DG090017,OWC 0% 22.08.2011 SN,OWC,IBONDS,20/02/2009,22/08/2011,N/A,N/A
MYBDG0900182,0.00,DG090018,OWC 0% 20.02.2012 SN,OWC,IBONDS,20/02/2009,20/02/2012,N/A,N/A
MYBDG0900273,0.00,DG090027,OWC 0% 22.08.2011 SN,OWC,IBONDS,20/02/2009,22/08/2011,N/A,N/A
MYBDG0900281,0.00,DG090028,OWC 0% 20.02.2012 SN,OWC,IBONDS,20/02/2009,20/02/2012,N/A,N/A
MYBDG0900398,0.00,DG090039,OWC 0% 22.08.2011 SN,OWC,IBONDS,20/02/2009,22/08/2011,N/A,N/A
MYBDG0900406,0.00,DG090040,OWC 0% 20.02.2012 SN,OWC,IBONDS,20/02/2009,20/02/2012,N/A,N/A
MYBDG0900638,0.00,DG090063,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,30/04/2009,31/10/2011,N/A,N/A
MYBDG0900646,0.00,DG090064,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,30/04/2009,30/04/2012,N/A,N/A
MYBDG0900935,0.00,DG090093,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,30/04/2009,31/10/2011,N/A,N/A
MYBDG0900943,0.00,DG090094,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,30/04/2009,30/04/2012,N/A,N/A
MYBDG0901222,0.00,DG090122,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,30/04/2009,31/10/2011,N/A,N/A
MYBDG0901230,0.00,DG090123,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,30/04/2009,30/04/2012,N/A,N/A
MYBDG0902071,0.00,DG090207,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,30/10/2009,30/04/2012,N/A,N/A
MYBDG0902089,0.00,DG090208,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,30/10/2009,31/10/2012,N/A,N/A
MYBDG0902337,0.00,DG090233,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,30/10/2009,30/04/2012,N/A,N/A
MYBDG0902345,0.00,DG090234,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,30/10/2009,31/10/2012,N/A,N/A
MYBDG1300069,170000000.00,DG130006,TH HEAVY 7.00% 30.09.2016 (Issue No. 01),TH HEAVY,IBONDS,30/09/2013,30/09/2016,N/A,N/A
MYBDG1500072,0.00,DG150007,ISLAM 0% 23.10.2017 SN,ISLAM,IBONDS,22/04/2015,23/10/2017,N/A,N/A
MYBDG1500080,0.00,DG150008,ISLAM 0% 23.04.2018 SN,ISLAM,IBONDS,22/04/2015,23/04/2018,N/A,N/A
MYBDG1600039,30000000.00,DG160003,THHE FAB 7.510% 05.08.2019,THHE FAB,IBONDS,05/08/2016,05/08/2019,N/A,N/A
MYBDH0213550,0.00,DH021355,GDC PUTRA 0.00000% 02.06.2006 SN,GDC PUTRA,IBONDS,04/12/2002,02/06/2006,N/A,N/A
MYBDH0213568,0.00,DH021356,GDC PUTRA 0.00000% 04.12.2006 SN,GDC PUTRA,IBONDS,04/12/2002,04/12/2006,N/A,N/A
MYBDH0304540,30000000.00,DH030454,ABI 5.75000% 30.05.2007,ABI,IBONDS,30/05/2003,30/05/2007,D_*I_*D,N/A
MYBDH0304680,0.00,DH030468,ABI 0.00000% 30.11.2006 SN,ABI,IBONDS,30/05/2003,30/11/2006,N/A,N/A
MYBDH0304698,0.00,DH030469,ABI 0.00000% 30.05.2007 SN,ABI,IBONDS,30/05/2003,30/05/2007,N/A,N/A
MYBDH0304763,0.00,DH030476,ABI 0.00000% 30.11.2006 SN,ABI,IBONDS,30/05/2003,30/11/2006,N/A,N/A
MYBDH0304771,0.00,DH030477,ABI 0.00000% 30.05.2007 SN,ABI,IBONDS,30/05/2003,30/05/2007,N/A,N/A
MYBDH04731Z9,0.00,DH04731Z,PSSB SHIP 0.00000% 17.12.2007 SN,PSSB SHIP,IBONDS,15/12/2004,17/12/2007,N/A,N/A
MYBDH04732S2,0.00,DH04732S,PSSB SHIP 0.00000% 16.06.2008 SN,PSSB SHIP,IBONDS,15/12/2004,16/06/2008,N/A,N/A
MYBDH04733H3,0.00,DH04733H,PSSB SHIP 0.00000% 15.12.2008 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2008,N/A,N/A
MYBDH04745A2,0.00,DH04745A,PSSB SHIP 0.00000% 17.12.2007 SN,PSSB SHIP,IBONDS,15/12/2004,17/12/2007,N/A,N/A
MYBDH04746E2,0.00,DH04746E,PSSB SHIP 0.00000% 16.06.2008 SN,PSSB SHIP,IBONDS,15/12/2004,16/06/2008,N/A,N/A
MYBDH04747F7,0.00,DH04747F,PSSB SHIP 0.00000% 15.12.2008 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2008,N/A,N/A
MYBDH0500014,50000000.00,DH050001,TRACOMA BAIDS RM50.0M 28/01/2009,TRACOMA,IBONDS,28/01/2005,28/01/2009,A_*I_*D,N/A
MYBDH0500097,0.00,DH050009,TRACOMA 0.00000% 28.07.2008 SN,TRACOMA,IBONDS,28/01/2005,28/07/2008,N/A,N/A
